常用频道,#genre#
桂林新闻综合,rtmp://202.103.242.190/live/TVxw
桂林公共频道,rtmp://202.103.242.190/live/TVgg
桂林科教旅游,rtmp://202.103.242.190/live/TVkj
广西南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8
广西南宁公共,http://hls.nntv.cn/nnlive/GGPD_24.m3u8
广西南宁文旅生活,https://hls.nntv.cn/nnlive/WLSH_24.m3u8
广西南宁新闻综合,https://hls.nntv.cn/nnlive/XWZH_24.m3u8
横州电视台,http://live.nnnews.net/video/s10004-hzstv-hd/index.m3u8
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
广州南国都市,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
广州番禺新闻,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv?fbl=
汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
经典电影轮播,rtmp://live.gxrb.com.cn/pull/red_movies_0501
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
CCTV14,http://114.226.212.147:8787/rtp/239.49.8.56:9826

今日俄罗斯,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
好消息1台FM,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
半岛新闻2,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
新加坡中文台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
Shop Channel TV5,http://stream1.shopch.jp/HLS/out2/prog_index.m3u8
